"Subscribe","Subscribe"
"Unsubscribe","Unsubscribe"
"Manage Colors","Manage Colors",
"Add New Color","Add New Color",
"Invalid request parameters.","Invalid request parameters."
"Website Theme Color Management","Website Theme Color Management"
"Mitac Management","Mitac Management"
"Zoho Subscribe Management","Zoho Subscribe Management"
"Enable","Enable"
"Oauth Token url","Oauth Token url"
"Subscribe Url","Subscribe Url"
"Unsubscribe Url","Unsubscribe Url"
"Client Id","Client Id"
"Client Secret","Client Secret"
"Redirect Uri","Redirect Uri"
"list key","list key"
"Sorry! This feature is not currently enabled.","Sorry! This feature is not currently enabled."
